draw,regimen,exposure,censored,final,rank
55,SAC+Rg3+Curcumin,20.575,0.0,0.0,8
55,Gemcitabine,21.132,1.0,0.0,1
56,SAC,14.547,0.0,1.620408163265306,7
56,Eupatilin,13.355,0.0,0.7448979591836735,6
56,20(S)-Rg3,2.815,0.0,0.0,2
56,Curcumin,6.115,0.0,0.4816326530612245,4
56,SAC+Eupatilin,17.788,0.0,0.0,8
56,Eupatilin+Rg3,5.849,0.0,0.0,3
56,SAC+Rg3+Curcumin,9.65,0.0,0.0,5
56,Gemcitabine,16.064,1.0,0.0,1
57,SAC,9.198,0.0,1.9272030651340997,3
57,Eupatilin,22.163,0.0,2.6379310344827585,5
57,20(S)-Rg3,8.181,0.0,2.157088122605364,2
57,Curcumin,11.462,0.0,2.8160919540229883,4
57,SAC+Eupatilin,22.737,0.0,0.11877394636015326,6
57,Eupatilin+Rg3,30.345,0.0,0.8180076628352491,8
57,SAC+Rg3+Curcumin,28.841,0.0,1.5708812260536398,7
57,Gemcitabine,9.945,1.0,0.0,1
58,SAC,10.433,0.0,0.5953757225433526,6
58,Eupatilin,11.33,0.0,0.30057803468208094,7
58,20(S)-Rg3,4.352,0.0,0.0,2
58,Curcumin,8.984,0.0,1.0635838150289016,5
58,SAC+Eupatilin,14.439,0.0,0.057803468208092484,8
58,Eupatilin+Rg3,8.605,0.0,0.0,4
58,SAC+Rg3+Curcumin,8.045,0.0,0.0,3
58,Gemcitabine,12.331,1.0,0.0,1
59,SAC,17.654,0.0,0.814663951120163,6
59,Eupatilin,7.071,0.0,0.5295315682281059,3
59,20(S)-Rg3,7.052,0.0,0.1934826883910387,2
59,Curcumin,19.498,0.0,1.5621181262729125,7
59,SAC+Eupatilin,25.932,0.0,0.7657841140529531,8
59,Eupatilin+Rg3,9.675,0.0,0.1384928716904277,4
59,SAC+Rg3+Curcumin,16.858,0.0,0.0,5
59,Gemcitabine,14.085,1.0,0.0,1
60,SAC,9.64,0.0,2.9175475687103596,4
60,Eupatilin,22.162,0.0,2.5665961945031714,5
60,20(S)-Rg3,9.193,0.0,2.4862579281183934,3
60,Curcumin,8.03,0.0,2.035940803382664,2
60,SAC+Eupatilin,31.802,0.0,1.2896405919661733,8
60,Eupatilin+Rg3,31.355,0.0,1.6849894291754757,7
60,SAC+Rg3+Curcumin,26.863,0.0,1.562367864693446,6
60,Gemcitabine,3.677,1.0,0.0,1
61,SAC,14.593,0.0,1.3540372670807452,5
61,Eupatilin,9.885,0.0,0.7184265010351967,3
